Url,Motivo,Seguidores,Status,
https://www.tiktok.com/@bolsonaromessiasjair,Pré-candidato,1.5M seguidores,Ativo,
https://www.tiktok.com/@lulaoficial;Pré-candidato;104.4K seguidores;Ativo,
https://www.tiktok.com/@cirogomesoficial,Pré-candidato,112K seguidores,Ativo,
https://www.tiktok.com/@andrejanones,Pré-candidato,156.8K seguidores,Ativo,
https://www.tiktok.com/@eduleite45,Pré-candidato,60.7K seguidores,Ativo,
https://www.tiktok.com/@simonetebetbr,Pré-candidata,3.3K seguidores,Ativo,
https://www.tiktok.com/@jdoria45,Pré-candidato,2.2K seguidores,Ativo,
https://www.tiktok.com/@jhonpresidente,Perfil apoiador Bolsonaro,658.7K seguidores,Ativo,
https://www.tiktok.com/@renanbolsonaro,Parente e apoiador Bolsonaro,445.1K seguidores,Ativo,
https://www.tiktok.com/@bolsonaro.presidente.22,Perfil apoiador Bolsonaro,186.0K seguidores,Ativo,
https://www.tiktok.com/@dingospatriota,Perfil apoiador Bolsonaro,162.3K seguidores,Ativo,
https://www.tiktok.com/@bolsonarof,Perfil apoiador Bolsonaro,151.0K seguidores,Ativo,
https://www.tiktok.com/@bolsonaro.reeleito.2022,Perfil apoiador Bolsonaro,133.6K seguidores,Ativo,
https://www.tiktok.com/@avantebolsonaro,Perfil apoiador Bolsonaro,99.0K seguidores,Ativo,
https://www.tiktok.com/@obrasiltemjeitosim,Perfil apoiador Bolsonaro,93.7K seguidores,Ativo,
https://www.tiktok.com/@carlosnbolsonaro,Parente e apoiador Bolsonaro,57.7K seguidores,Ativo,
https://www.tiktok.com/@flaviobolsonaro,Parente e apoiador Bolsonaro,55.3K seguidores,Ativo,
https://www.tiktok.com/@cironoflow,Perfil apoiador Ciro,285.3K seguidores,Ativo,
https://www.tiktok.com/@cirogomespernambuco,Perfil apoiador Ciro,103.4K seguidores,Ativo,
https://www.tiktok.com/@redesdamassa,Perfil apoiador Ciro,93.9K seguidores,Ativo,
https://www.tiktok.com/@cirocknorris,Perfil apoiador Ciro,41K seguidores,Inativo,
https://www.tiktok.com/@cirogomesnotiktok,Perfil apoiador Ciro,21.2K seguidores,Ativo,
https://www.tiktok.com/@ciro_resistencia,Perfil apoiador Ciro,20.1K seguidores,Ativo,
https://www.tiktok.com/@cirogomesvemai12,Perfil apoiador, 12.7K seguidores,Ativo,
https://www.tiktok.com/@ocompatriota12,Perfil apoiador Ciro,12.3K seguidores,Ativo,
https://www.tiktok.com/@pdtriodejaneiro,Perfil partido Ciro,3.0K seguidores,Ativo,
https://www.tiktok.com/@aliancacirista,Perfil apoiador Ciro,2.6K seguidores,Ativo,
https://www.tiktok.com/@lulaoficial26,Perfil não verificado Pré-candidato Lula,642.9K seguidores,Ativo,
https://www.tiktok.com/@lula13_oficial,Perfil apoiador Lula,446.6K seguidores,Ativo,
https://www.tiktok.com/@petistasincero,Perfil apoiador Lula,191.9K seguodores,Ativo,
https://www.tiktok.com/@lulanotiktok,Perfil apoiador Lula,170.0K seguidores,Ativo,
https://www.tiktok.com/@lulacombr,Perfil apoiador Lula,144.6K seguidores,Ativo,
https://www.tiktok.com/@guilhermeboulos,Político apoiador Lula,112.2K seguidores,Ativo,
https://www.tiktok.com/@recorteslula,Perfil apoiador Lula,78.3K seguidores,Ativo,
https://www.tiktok.com/@luladublador,Perfil apoiador Lula,76.8K seguidores,Ativo,
https://www.tiktok.com/@galeravermelha,Perfil apoiador Lula,46.4K seguidores,Ativo,
https://www.tiktok.com/@ptbrasil,Perfil partido Lula,20.6K seguidores,Inativo,
